AI: questfinisherAI
male,47
promiscuous,21
tactful,25
loyal,24
domineering,26
confident,25
charming,21
outgoing,22
vengeful,21
kind,24
observant,23
sympathetic,21
oblivious,29
impulsive,22
female,54
hostile,23
unforgiving,24
jealous,20
humble,18
dishonest,18
irritable,25
gabby,30
shy,19
snide,22
independent,20
nagging,22
arrogant,16
stubborn,20
honest,19
forgiving,24
persuasive,15
indecisive,23
disapproving,21
charismatic,24
The Colonel is disappointed in Thomas,69
Liz got James his job as a stable boy,65
Liz used to be in a relationship with James,66
Thomas wants Colonel's approval,68
Thomas is afraid of losing the Colonel,56
James is obsessed with appeasing the Colonel,90
Thomas is protecting the Colonel,38
Colonel doesn't like James hanging around with his daughter.,88
Violet and James are together a lot,87
James doesn't like talking about the manor,87
James is afraid of Violet,56
Violet has strange scars on her wrist,101
Liz thinks something suspicious is happening at the mansion,60
Violet ignores the Colonel,31
Colonel doesn't know about some rooms in the manor,101
The manor is a headquarter to a dark cult,101
James is a member of the cult,29
James is not entirely brainwashed,20
Violet resents Colonel for leaving when she was younger,27
Violet's mother died while Colonel was away,27
Violet is a member of the cult,101
Thomas knows Violet is running a cult,35
Violet is blackmailing Thomas,22
There is a cult ritual tonight to bring back Violet's mother,101
The player is the sacrifice for that ritual,101
Violet has been distant since Colonel returned home,3
Help Thomas repair his relationship with James.,56
Find evidence of Violet's misdoings by obtaining her diary.,34
James wants to find out how serious Violet is about the cult and asks for her diary.,20
Liz wants to find out what's going on with the house and asks or Violet's diary.,32
Get Colonel to like James.,37
Get Violet to like the Colonel more.,12
Convince Liz to get over James and date someone else.,1
Get Thomas to stop protecting the Colonel by ruining Thomas's family bond with his father.,1
Get James to come back to Liz.,1
Thomas is mad that the player for making his relationship with James even worse.,43
James is mad that the player for making the Colonel dislike James so much.,36
Colonel is angry at the player because Violet is now enemies with him.,12
James is shocked to find out the truth in Violet's diary!,1
Liz feels she can't trust the player since they gave the diary to someone else.,1
The player's strong ties allow them to escape with James Thomas ,3
Realizing her love for the player and her distaste for her brother Violet is convinced to sacrifice Thomas instead of the player.,72
The player's strong ties allow them to escape with James ,3
The player's strong ties allow them to escape with James Colonel ,2
James now free of Violet and happy with Liz helps free you from Violet's evil plans.,6
The player's strong ties allow them to escape with James Baroness ,2
The player's strong ties allow them to escape with Violet James ,1
The player's strong ties allow them to escape with James Colonel Thomas ,3
The player's strong ties allow them to escape with Violet ,2
The player's strong ties allow them to escape with Violet Baroness ,1
Sadly having made no friends in the manor the player is sacrificed to raise Violet's mother. Unfortunately since the player dies they don't even get to see if the sacrifice worked.,1
Violet realizes she loves James more than she'd let herself believe and she gives up the cult to go elope with him.,1
The player's strong ties allow them to escape with Violet Thomas ,1
The player's strong ties allow them to escape with Violet Thomas Baroness ,1
The player's strong ties allow them to escape with James Colonel Baroness ,1
The player's strong ties allow them to escape with Violet Colonel ,1
move to dining room,1625
talk to Baroness,792
talk to Thomas,1601
move to living room,1584
move to gardens,1606
talk to James,2448
talk to Violet,2819
talk to Colonel,1374
talk to Liz,807
Flatter (3-person),1191
Physical Flirt (light),737
Conversation Flirt (Direct),1366
Discuss (Item),357
Compliment,162
Court,1394
Share Feelings,1106
Ask Out,46
Encourage,67
Break up (3-person),534
Truce (3-person),307
Declare Rivalry (3-person),387
Ask Out (3-person),457
Find Faults,401
Council,136
Fueling the Fire,139
Bad Council,84
Confide In,608
Ultimatum (3-person),139
Declare Rivalry,52
Blame,85
Offer Drink (Item),2
Give Gift (Item),20
Break Up,23
Talk Up Other (3-person),16
Apologize,13
Petty Argument,3
Endear (3-person),1
Accentuate the Negative (3-person),7
Embarrass Self,1
