AI: meanAI
Discuss (Item)-Fueling the Fire,3208
Fueling the Fire-Flatter (3-person),813
Flatter (3-person)-Find Faults,1055
Find Faults-Declare Rivalry (3-person),530
Declare Rivalry (3-person)-Discuss (Item),1112
Discuss (Item)-Embarrass Self,356
Embarrass Self-Flatter (3-person),203
Flatter (3-person)-Declare Rivalry (3-person),467
Discuss (Item)-Find Faults,4536
Find Faults-Fueling the Fire,2408
Fueling the Fire-Declare Rivalry (3-person),449
Find Faults-Express Disappointment (3-person),360
Express Disappointment (3-person)-Declare Rivalry (3-person),86
Discuss (Item)-Request Item,375
Request Item-Give Gift (Item),680
Give Gift (Item)-Declare Rivalry (3-person),17
Discuss (Item)-Express Disappointment (3-person),454
Express Disappointment (3-person)-Fueling the Fire,198
Declare Rivalry (3-person)-Ultimatum (3-person),208
Ultimatum (3-person)-Discuss (Item),654
Discuss (Item)-Give Gift (Item),95
Give Gift (Item)-Embarrass Self,11
Flatter (3-person)-Bad Council,580
Bad Council-Petty Argument,2319
Petty Argument-Discuss (Item),1719
Discuss (Item)-Flatter (3-person),1818
Flatter (3-person)-Embarrass Self,141
Embarrass Self-Fueling the Fire,48
Fueling the Fire-Discuss (Item),1996
Express Disappointment (3-person)-Bad Council,322
Petty Argument-Embarrass Self,69
Flatter (3-person)-Discuss (Item),2416
Discuss (Item)-Accentuate the Negative (3-person),240
Accentuate the Negative (3-person)-Confide In,43
Confide In-Find Faults,1014
Find Faults-Discuss (Item),3799
Discuss (Item)-Petty Argument,1231
Petty Argument-Fueling the Fire,611
Fueling the Fire-Find Faults,2253
Find Faults-Bad Council,3646
Bad Council-Discuss (Item),2839
Petty Argument-Request Item,95
Give Gift (Item)-Discuss (Item),415
Discuss (Item)-Bad Council,2289
Bad Council-Find Faults,2249
Express Disappointment (3-person)-Find Faults,367
Petty Argument-Express Disappointment (3-person),304
Petty Argument-Court,219
Court-Express Disappointment (3-person),40
Find Faults-Petty Argument,1798
Petty Argument-Bad Council,1274
Find Faults-Confide In,1011
Confide In-Petty Argument,98
Bad Council-Share Feelings,621
Share Feelings-Flatter (3-person),211
Petty Argument-Flatter (3-person),366
Flatter (3-person)-Confide In,689
Confide In-Bad Council,659
