AI: questfinisherAI
Flatter (3-person)-Physical Flirt (light),2374
Physical Flirt (light)-Ultimatum (3-person),115
Ultimatum (3-person)-Ask Out (3-person),99
Ask Out (3-person)-Flatter (3-person),662
Physical Flirt (light)-Confide In,180
Confide In-Council,1328
Council-Flatter (3-person),2674
Flatter (3-person)-Conversation Flirt (Direct),1911
Conversation Flirt (Direct)-Physical Flirt (light),1181
Physical Flirt (light)-Council,814
Conversation Flirt (Direct)-Share Feelings,1441
Share Feelings-Court,4051
Court-Flatter (3-person),2015
Conversation Flirt (Direct)-Discuss (Item),555
Discuss (Item)-Ask Out (3-person),131
Ask Out (3-person)-Council,705
Council-Share Feelings,2381
Share Feelings-Conversation Flirt (Direct),1253
Conversation Flirt (Direct)-Flatter (3-person),1803
Flatter (3-person)-Council,2474
Council-Discuss (Item),345
Discuss (Item)-Share Feelings,274
Share Feelings-Flatter (3-person),970
Conversation Flirt (Direct)-Court,1694
Court-Declare Rivalry (3-person),289
Declare Rivalry (3-person)-Flatter (3-person),648
Discuss (Item)-Declare Rivalry (3-person),248
Council-Conversation Flirt (Direct),1682
Conversation Flirt (Direct)-Declare Rivalry (3-person),356
Declare Rivalry (3-person)-Declare Rivalry,34
Declare Rivalry-Encourage,5
Encourage-Flatter (3-person),562
Flatter (3-person)-Discuss (Item),447
Discuss (Item)-Court,217
Court-Find Faults,433
Find Faults-Council,1051
Discuss (Item)-Encourage,28
Encourage-Court,46
Court-Council,2211
Conversation Flirt (Direct)-Encourage,136
Court-Share Feelings,1669
Physical Flirt (light)-Court,318
Share Feelings-Council,1585
Council-Truce (3-person),1013
Truce (3-person)-Ask Out (3-person),204
Ask Out (3-person)-Share Feelings,276
Council-Blame,224
Blame-Ask Out (3-person),35
Ask Out (3-person)-Ask Out,6
Ask Out-Share Feelings,54
Council-Court,2257
Court-Conversation Flirt (Direct),2380
Council-Find Faults,1075
Find Faults-Discuss (Item),203
Discuss (Item)-Bad Council,7
Bad Council-Share Feelings,75
Truce (3-person)-Court,359
Court-Confide In,741
Confide In-Discuss (Item),243
Council-Confide In,1264
Confide In-Share Feelings,597
Court-Discuss (Item),160
Discuss (Item)-Council,497
Physical Flirt (light)-Truce (3-person),207
Truce (3-person)-Declare Rivalry (3-person),478
Physical Flirt (light)-Conversation Flirt (Direct),1273
Physical Flirt (light)-Ask Out (3-person),687
Ask Out (3-person)-Compliment,24
Compliment-Ultimatum (3-person),12
Ultimatum (3-person)-Flatter (3-person),203
Flatter (3-person)-Ask Out (3-person),682
Ask Out (3-person)-Discuss (Item),143
Encourage-Council,114
Declare Rivalry (3-person)-Physical Flirt (light),243
Physical Flirt (light)-Flatter (3-person),875
Council-Ask Out (3-person),605
Discuss (Item)-Flatter (3-person),622
Physical Flirt (light)-Declare Rivalry,58
Declare Rivalry-Flatter (3-person),63
Find Faults-Ask Out (3-person),320
Council-Fueling the Fire,346
Fueling the Fire-Conversation Flirt (Direct),95
Conversation Flirt (Direct)-Find Faults,187
Fueling the Fire-Flatter (3-person),212
Court-Truce (3-person),551
Truce (3-person)-Flatter (3-person),649
Truce (3-person)-Conversation Flirt (Direct),251
Court-Compliment,55
Compliment-Truce (3-person),37
Truce (3-person)-Physical Flirt (light),92
Ask Out (3-person)-Truce (3-person),138
Conversation Flirt (Direct)-Fueling the Fire,79
Fueling the Fire-Council,403
Find Faults-Truce (3-person),584
Conversation Flirt (Direct)-Council,1614
Truce (3-person)-Fueling the Fire,180
