AI: niceAI
female,502
kind,1001
forgiving,1001
sympathetic,1001
loyal,1001
honest,1001
tactful,1001
male,499
The Colonel is disappointed in Thomas,626
James is obsessed with appeasing the Colonel,836
Colonel doesn't like James hanging around with his daughter.,828
Violet and James are together a lot,824
James is afraid of Violet,673
James doesn't like talking about the manor,840
Violet has strange scars on her wrist,1001
Thomas wants Colonel's approval,608
Colonel doesn't know about some rooms in the manor,1001
Liz thinks something suspicious is happening at the mansion,855
The manor is a headquarter to a dark cult,1001
Thomas is afraid of losing the Colonel,365
Violet is a member of the cult,1001
Thomas knows Violet is running a cult,449
There is a cult ritual tonight to bring back Violet's mother,995
The player is the sacrifice for that ritual,995
Liz used to be in a relationship with James,754
Liz got James his job as a stable boy,750
Violet resents Colonel for leaving when she was younger,308
Violet's mother died while Colonel was away,286
Violet ignores the Colonel,399
James is a member of the cult,479
James is not entirely brainwashed,151
Violet is blackmailing Thomas,216
Violet has been distant since Colonel returned home,47
Thomas is protecting the Colonel,195
Get James to come back to Liz.,374
Get Baroness to like Liz enough to hire her.,56
Get Thomas to stop protecting the Colonel by ruining Thomas's family bond with his father.,732
Colonel asks the player to break up James and Violet,85
Liz wants to find out what's going on with the house and asks or Violet's diary.,6
Colonel asks the player to get james and violet to break up and for james to be dating the player instead.,2
James and Liz are now dating and Liz is super happy!,145
Liz is mad that the player for taking James away from her.,84
Liz is mad that the player for making the Baroness dislike Liz so much.,26
Wooed James instead of just breaking them up.,5
James now free of Violet and happy with Liz helps free you from Violet's evil plans.,391
Realizing her love for the player and her distaste for her brother Violet is convinced to sacrifice Thomas instead of the player.,532
The player's strong ties allow them to escape with James Baroness ,4
The player's strong ties allow them to escape with James ,3
The player's strong ties allow them to escape with Colonel Thomas ,1
The player's strong ties allow them to escape with Violet James Liz Baroness ,1
The player's strong ties allow them to escape with James Colonel Baroness ,6
The player's strong ties allow them to escape with Violet Colonel Liz Baroness ,4
The player's strong ties allow them to escape with James Colonel Thomas Baroness ,1
The player's strong ties allow them to escape with Colonel Liz Baroness ,4
The player's strong ties allow them to escape with Liz Thomas Baroness ,2
Sadly having made no friends in the manor the player is sacrificed to raise Violet's mother. Unfortunately since the player dies they don't even get to see if the sacrifice worked.,1
Forced quit due to too many moves since last plot point,6
The player's strong ties allow them to escape with James Liz Baroness ,6
Violet realizes she loves James more than she'd let herself believe and she gives up the cult to go elope with him.,3
The player's strong ties allow them to escape with Colonel Liz Thomas Baroness ,1
The player's strong ties allow them to escape with Colonel Liz ,3
The player's strong ties allow them to escape with Baroness ,1
The player's strong ties allow them to escape with Violet Liz Thomas ,1
The player's strong ties allow them to escape with Violet James Liz ,1
The player's strong ties allow them to escape with Violet Baroness ,1
The player's strong ties allow them to escape with Liz ,2
The player's strong ties allow them to escape with Violet Colonel Thomas ,1
The player's strong ties allow them to escape with James Thomas Baroness ,1
The player's strong ties allow them to escape with James Colonel ,2
The player's strong ties allow them to escape with Violet James Liz Thomas ,1
The player's strong ties allow them to escape with Colonel Baroness ,4
The player's strong ties allow them to escape with Thomas ,1
The player's strong ties allow them to escape with Liz Baroness ,3
The player's strong ties allow them to escape with Violet James Colonel Baroness ,1
The player's strong ties allow them to escape with Violet James Colonel Liz Baroness ,3
The player's strong ties allow them to escape with Violet James ,1
The player's strong ties allow them to escape with Violet Liz Baroness ,2
The player's strong ties allow them to escape with James Colonel Thomas ,1
The player's strong ties allow them to escape with Colonel ,1
The player's strong ties allow them to escape with James Colonel Liz Baroness ,1
The player's strong ties allow them to escape with Violet James Liz Thomas Baroness ,1
The player's strong ties allow them to escape with James Liz Thomas ,1
The player's strong ties allow them to escape with James Liz Thomas Baroness ,1
move to gardens,37458
talk to Liz,18471
move to dining room,37202
move to living room,37150
talk to Violet,18787
talk to Baroness,18693
talk to Colonel,18641
talk to Thomas,18444
talk to James,18201
Flatter (3-person),11937
Physical Flirt (light),7062
Conversation Flirt (Direct),18003
Ask Out (3-person),18009
Truce (3-person),12821
Court,12044
Share Feelings,11289
Encourage,4980
Council,3330
Compliment,2012
Ask Out,1085
Apologize,971
Fueling the Fire,373
Confide In,4681
Declare Rivalry (3-person),242
Talk Up Other (3-person),262
Find Faults,1588
Envy,9
Ultimatum (3-person),38
Bad Council,72
Break Up,8
Declare Rivalry,7
Give Romantic Gift (Item),55
Intervention (3-person),3
Break up (3-person),155
Gossip,7
Blame,48
Embarrass Self,8
Reminisce (3-person),121
Endear (3-person),13
Give Gift (Item),2
Discuss (Item),2
