AI: niceAI
Flatter (3-person)-Physical Flirt (light),2583
Physical Flirt (light)-Conversation Flirt (Direct),2201
Conversation Flirt (Direct)-Ask Out (3-person),3967
Ask Out (3-person)-Truce (3-person),2766
Truce (3-person)-Flatter (3-person),1652
Physical Flirt (light)-Ask Out (3-person),1574
Ask Out (3-person)-Conversation Flirt (Direct),3704
Conversation Flirt (Direct)-Flatter (3-person),2109
Physical Flirt (light)-Court,555
Court-Ask Out (3-person),2430
Truce (3-person)-Share Feelings,1693
Share Feelings-Physical Flirt (light),223
Flatter (3-person)-Court,1053
Court-Physical Flirt (light),560
Conversation Flirt (Direct)-Encourage,814
Encourage-Court,540
Court-Flatter (3-person),1176
Flatter (3-person)-Conversation Flirt (Direct),2194
Conversation Flirt (Direct)-Council,543
Council-Physical Flirt (light),86
Physical Flirt (light)-Flatter (3-person),730
Flatter (3-person)-Share Feelings,1025
Share Feelings-Conversation Flirt (Direct),2297
Conversation Flirt (Direct)-Compliment,520
Compliment-Court,98
Conversation Flirt (Direct)-Truce (3-person),2217
Truce (3-person)-Encourage,543
Encourage-Council,235
Council-Conversation Flirt (Direct),414
Conversation Flirt (Direct)-Physical Flirt (light),1535
Physical Flirt (light)-Share Feelings,307
Share Feelings-Court,2464
Court-Conversation Flirt (Direct),2227
Ask Out (3-person)-Ask Out,181
Ask Out-Share Feelings,205
Conversation Flirt (Direct)-Court,2845
Ask Out (3-person)-Compliment,447
Compliment-Conversation Flirt (Direct),306
Ask Out (3-person)-Share Feelings,1777
Ask Out (3-person)-Physical Flirt (light),1075
Physical Flirt (light)-Apologize,34
Apologize-Share Feelings,164
Court-Encourage,616
Encourage-Fueling the Fire,63
Fueling the Fire-Conversation Flirt (Direct),42
Court-Confide In,731
Confide In-Encourage,380
Encourage-Conversation Flirt (Direct),740
Conversation Flirt (Direct)-Share Feelings,2022
Share Feelings-Apologize,168
Apologize-Court,92
Encourage-Truce (3-person),635
Conversation Flirt (Direct)-Confide In,666
Encourage-Compliment,88
Compliment-Ask Out (3-person),436
Share Feelings-Encourage,424
Encourage-Confide In,303
Confide In-Court,640
Ask Out (3-person)-Encourage,871
Encourage-Share Feelings,736
Court-Apologize,137
Apologize-Flatter (3-person),80
Ask Out (3-person)-Flatter (3-person),3564
Physical Flirt (light)-Ask Out,70
Ask Out-Ask Out (3-person),203
Share Feelings-Compliment,87
Flatter (3-person)-Ask Out (3-person),2001
Truce (3-person)-Council,378
Council-Ask Out (3-person),628
Share Feelings-Ask Out (3-person),1863
Truce (3-person)-Conversation Flirt (Direct),2618
Physical Flirt (light)-Truce (3-person),760
Ask Out (3-person)-Court,1608
Court-Council,431
Encourage-Ask Out (3-person),829
Ask Out (3-person)-Council,577
Share Feelings-Truce (3-person),1584
Truce (3-person)-Ask Out (3-person),2653
Council-Confide In,185
