AI: questfinisherAI
Flatter (3-person)-Physical Flirt (light),2791
Physical Flirt (light)-Ask Out (3-person),664
Ask Out (3-person)-Encourage,456
Encourage-Flatter (3-person),591
Flatter (3-person)-Conversation Flirt (Direct),1494
Conversation Flirt (Direct)-Physical Flirt (light),1208
Physical Flirt (light)-Discuss (Item),731
Discuss (Item)-Flatter (3-person),849
Physical Flirt (light)-Court,510
Court-Flatter (3-person),1832
Flatter (3-person)-Ask Out (3-person),709
Ask Out (3-person)-Physical Flirt (light),200
Physical Flirt (light)-Conversation Flirt (Direct),1588
Conversation Flirt (Direct)-Flatter (3-person),2423
Flatter (3-person)-Court,1619
Court-Physical Flirt (light),765
Conversation Flirt (Direct)-Share Feelings,1403
Share Feelings-Truce (3-person),273
Truce (3-person)-Physical Flirt (light),111
Share Feelings-Court,4081
Share Feelings-Declare Rivalry (3-person),152
Declare Rivalry (3-person)-Physical Flirt (light),407
Conversation Flirt (Direct)-Court,1568
Conversation Flirt (Direct)-Discuss (Item),596
Discuss (Item)-Declare Rivalry (3-person),307
Declare Rivalry (3-person)-Declare Rivalry,33
Declare Rivalry-Fueling the Fire,21
Fueling the Fire-Blame,101
Blame-Declare Rivalry (3-person),46
Declare Rivalry (3-person)-Conversation Flirt (Direct),439
Court-Blame,145
Blame-Physical Flirt (light),20
Conversation Flirt (Direct)-Truce (3-person),352
Truce (3-person)-Bad Council,572
Bad Council-Fueling the Fire,888
Fueling the Fire-Share Feelings,1498
Court-Conversation Flirt (Direct),2903
Conversation Flirt (Direct)-Fueling the Fire,646
Fueling the Fire-Ultimatum (3-person),49
Ultimatum (3-person)-Share Feelings,87
Court-Fueling the Fire,1231
Fueling the Fire-Conversation Flirt (Direct),431
Truce (3-person)-Share Feelings,416
Share Feelings-Fueling the Fire,1000
Fueling the Fire-Court,1247
Conversation Flirt (Direct)-Bad Council,541
Bad Council-Court,1022
Court-Truce (3-person),566
Share Feelings-Bad Council,754
Bad Council-Ask Out (3-person),354
Ask Out (3-person)-Fueling the Fire,297
Court-Break up (3-person),732
Break up (3-person)-Fueling the Fire,412
Fueling the Fire-Confide In,610
Confide In-Share Feelings,602
Fueling the Fire-Break up (3-person),346
Break up (3-person)-Share Feelings,488
Share Feelings-Confide In,686
Confide In-Fueling the Fire,996
Fueling the Fire-Flatter (3-person),1032
Flatter (3-person)-Find Faults,714
Find Faults-Conversation Flirt (Direct),228
Conversation Flirt (Direct)-Compliment,150
Compliment-Declare Rivalry (3-person),88
Physical Flirt (light)-Find Faults,138
Find Faults-Flatter (3-person),694
Flatter (3-person)-Bad Council,706
Bad Council-Compliment,44
Compliment-Find Faults,44
Flatter (3-person)-Truce (3-person),627
